Ilosc unieszkodliwiona [kg],Ilosc zinwentaryzowana [kg],Nazwa Gminy,Pozostala do unieszkodliwienia [kg],TERYT
101530.00,2732158.00,Kęsowo,2630628.00,041603
317932.56,3415143.06,Lubiewo,3097210.50,041604
186620.00,2042182.00,Śliwice,1855562.00,041605
243661.25,2716939.75,Tuchola,2473278.50,041606
137629.22,560576.72,Wąbrzeźno,422947.50,041701
153772.00,3235318.00,Dębowa Łąka,3081546.00,041702
44.00,736223.90,Książki,736179.90,041703
57687.20,2908721.07,Płużnica,2851033.87,041704
0.00,15433.00,Wąbrzeźno,15433.00,041705
60317.00,60317.00,Kowal,0.00,041801
285228.00,2878392.39,Baruchowo,2593164.39,041802
267273.82,2700653.82,Boniewo,2433380.00,041803
430063.93,2455920.73,Brześć Kujawski,2025856.80,041804
61.93,1601.93,Choceń,1540.00,041805
0.00,2490141.00,Chodecz,2490141.00,041806
195564.00,1125460.00,Fabianki,929896.00,041807
0.00,3828491.00,Izbica Kujawska,3828491.00,041808
52085.00,2037984.00,Kowal,1985899.00,041809
171314.82,1779623.69,Lubanie,1608308.87,041810
44.00,4693007.00,Lubień Kujawski,4692963.00,041811
550.00,4488346.50,Lubraniec,4487796.50,041812
56445.00,56907.00,Włocławek,462.00,041813
19871.00,1965112.58,Barcin,1945241.58,041901
159380.00,1868754.50,Gąsawa,1709374.50,041902
1703920.00,6094593.00,Janowiec Wielkopolski,4390673.00,041903
286798.00,4312250.30,Łabiszyn,4025452.30,041904
0.10,4089687.85,Rogowo,4089687.75,041905
797832.00,7173255.74,Żnin,6375423.74,041906
883541.78,2941090.47,Bydgoszcz,2057548.69,046101
402953.34,2493957.45,Grudziądz,2091004.11,046201
4701421.57,5965414.88,Toruń,1263993.31,046301
430608.29,6327052.54,Włocławek,5896444.25,046401
499110.20,1997246.29,Międzyrzec Podlaski,1498136.09,060101
499374.00,926265.03,Terespol,426891.03,060102
772037.72,5760954.30,Biała Podlaska,4988916.58,060103
0.00,61.88,Drelów,61.88,060104
293477.00,1411812.70,Janów Podlaski,1118335.70,060105
32000.00,33957.00,Kodeń,1957.00,060106
180882.60,1559847.00,Konstantynów,1378964.40,060107
2156.00,36586.00,Leśna Podlaska,34430.00,060108
314259.00,6290372.00,Łomazy,5976113.00,060109
0.00,10687054.40,Międzyrzec Podlaski,10687054.40,060110
5120.00,5473767.00,Piszczac,5468647.00,060111
324204.00,2439375.00,Rokitno,2115171.00,060112
103679.00,1422638.00,Rossosz,1318959.00,060113
2390.00,904713.00,Sławatycze,902323.00,060114
76338.00,1299446.00,Sosnówka,1223108.00,060115
1241793.64,4047128.89,Terespol,2805335.25,060116
0.40,3397350.40,Tuczna,3397350.00,060117
338686.00,3901675.00,Wisznice,3562989.00,060118
232236.00,3818063.00,Zalesie,3585827.00,060119
456782.04,2558929.01,Biłgoraj,2102146.97,060201
44697.40,1431880.01,Aleksandrów,1387182.61,060202
637178.50,4417011.40,Biłgoraj,3779832.90,060203
